"ipr.oid"|"registry"|"cc"|"type"|"start"|"value"|"date"|"status"|"dtstart"|"dtend"|"current"|"ipr"
"AF2005-02-18-00581"|"afrinic"|"MZ"|"ipv4"|"196.200.208.0"|4096|2005-03-07|"assigned"|2005-02-18|2005-02-20|FALSE|"196.200.208.0/20"
"AF2005-02-18-00599"|"afrinic"|"LS"|"ipv4"|"196.202.240.0"|2048|2005-03-09|"allocated"|2005-02-18|2005-02-20|FALSE|"196.202.240.0/21"
"AF2005-02-18-00604"|"afrinic"|"NG"|"ipv4"|"196.207.0.0"|4096|2005-03-09|"allocated"|2005-02-18|2005-02-20|FALSE|"196.207.0.0/20"
"AF2005-02-18-00605"|"afrinic"|"ZA"|"ipv4"|"196.207.32.0"|4096|2005-03-09|"allocated"|2005-02-18|2005-02-20|FALSE|"196.207.32.0/20"
"AF2005-02-21-00435"|"afrinic"|"ZA"|"ipv4"|"196.3.162.0"|256|1995-10-26|"assigned"|2005-02-21|2005-03-02|FALSE|"196.3.162.0/24"
"AF2005-03-12-00224"|"afrinic"|"AO"|"ipv4"|"10.0.0.100"|156|2005-03-11|"assigned"|2005-03-12|2005-04-07|FALSE|"10.0.0.100-10.0.0.255"
"AF2005-02-18-00307"|"afrinic"|"ZA"|"ipv4"|"160.115.0.0"|65536|NA|"assigned"|2005-02-18|2005-04-17|FALSE|"160.115.0.0/16"
"AF2005-02-18-00323"|"afrinic"|"ZA"|"ipv4"|"163.203.0.0"|65536|NA|"assigned"|2005-02-18|2005-04-17|FALSE|"163.203.0.0/16"
"AF2005-02-18-00396"|"afrinic"|"SN"|"ipv4"|"196.1.92.0"|256|NA|"assigned"|2005-02-18|2005-04-17|FALSE|"196.1.92.0/24"
"AF2005-02-18-00285"|"afrinic"|"ZA"|"ipv4"|"146.230.0.0"|65536|1991-03-01|"assigned"|2005-02-18|2005-04-19|FALSE|"146.230.0.0/16"
"AF2005-02-18-00534"|"afrinic"|"ZA"|"ipv4"|"196.41.64.0"|8192|1999-06-28|"allocated"|2005-02-18|2005-05-16|FALSE|"196.41.64.0/19"
"AF2005-06-02-00397"|"afrinic"|"MA"|"ipv4"|"196.3.180.0"|1024|2005-06-01|"allocated"|2005-06-02|2005-06-06|FALSE|"196.3.180.0/22"
"AF2005-03-10-00605"|"afrinic"|"ZA"|"ipv4"|"196.207.32.0"|4096|2005-03-09|"allocated"|2005-03-10|2005-06-23|FALSE|"196.207.32.0/20"
"AF2005-06-24-00576"|"afrinic"|"MA"|"ipv4"|"196.207.32.0"|4096|2005-06-01|"allocated"|2005-06-24|2005-07-06|FALSE|"196.207.32.0/20"
"AF2005-07-07-00581"|"afrinic"|"ZA"|"ipv4"|"196.207.32.0"|4096|2005-03-09|"allocated"|2005-07-07|2005-07-07|FALSE|"196.207.32.0/20"
"AF2005-04-18-00267"|"afrinic"|"ZA"|"ipv4"|"163.203.0.0"|65536|NA|"allocated"|2005-04-18|2005-07-29|FALSE|"163.203.0.0/16"
"AF2005-02-18-00360"|"afrinic"|"ZA"|"ipv4"|"192.96.0.0"|65536|1991-03-01|"allocated"|2005-02-18|2005-08-08|FALSE|"192.96.0.0/16"
"AF2005-02-18-00484"|"afrinic"|"ZA"|"ipv4"|"196.6.0.0"|65536|1993-10-04|"allocated"|2005-02-18|2005-08-08|FALSE|"196.6.0.0/16"
"AF2005-02-18-00488"|"afrinic"|"ZA"|"ipv4"|"196.10.0.0"|65536|1994-01-22|"allocated"|2005-02-18|2005-08-08|FALSE|"196.10.0.0/16"
"AF2005-02-18-00489"|"afrinic"|"ZA"|"ipv4"|"196.11.0.0"|65536|1994-03-18|"allocated"|2005-02-18|2005-08-08|FALSE|"196.11.0.0/16"
"AF2005-02-18-00491"|"afrinic"|"ZA"|"ipv4"|"196.13.0.0"|65536|1994-06-13|"allocated"|2005-02-18|2005-08-08|FALSE|"196.13.0.0/16"
"AF2005-02-18-00609"|"afrinic"|"ZA"|"ipv4"|"198.54.0.0"|65536|1993-01-27|"allocated"|2005-02-18|2005-08-08|FALSE|"198.54.0.0/16"
"AF2005-02-18-00465"|"afrinic"|"ZA"|"ipv4"|"196.4.160.0"|512|1993-11-17|"assigned"|2005-02-18|2005-08-11|FALSE|"196.4.160.0/23"
"AF2005-02-18-00583"|"afrinic"|"KE"|"ipv4"|"196.201.0.0"|256|2003-10-20|"assigned"|2005-02-18|2005-08-24|FALSE|"196.201.0.0/24"
"AF2005-02-18-00584"|"afrinic"|"KE"|"ipv4"|"196.201.8.0"|1024|2003-10-20|"assigned"|2005-02-18|2005-08-24|FALSE|"196.201.8.0/22"
"AF2005-08-24-00383"|"afrinic"|"ZA"|"ipv4"|"196.2.8.0"|2048|2005-08-23|"allocated"|2005-08-24|2005-09-12|FALSE|"196.2.8.0/21"
"AF2005-08-31-00604"|"afrinic"|"KE"|"ipv4"|"196.216.0.0"|256|2005-08-30|"assigned"|2005-08-31|2005-09-29|FALSE|"196.216.0.0/24"
"AF2005-02-18-00582"|"afrinic"|"GH"|"ipv4"|"196.200.224.0"|8192|2005-01-28|"allocated"|2005-02-18|2005-10-18|FALSE|"196.200.224.0/19"
"AF2005-02-18-00414"|"afrinic"|"ZW"|"ipv4"|"196.2.64.0"|4096|1997-04-16|"allocated"|2005-02-18|2005-10-21|FALSE|"196.2.64.0/20"
"AF2005-08-12-00441"|"afrinic"|"ZA"|"ipv4"|"196.4.160.0"|512|2005-08-11|"allocated"|2005-08-12|2005-10-21|FALSE|"196.4.160.0/23"
"AF2005-02-18-00314"|"afrinic"|"ZA"|"ipv4"|"160.124.0.0"|65536|1993-03-29|"assigned"|2005-02-18|2005-10-25|FALSE|"160.124.0.0/16"
"AF2005-02-18-00359"|"afrinic"|"ZA"|"ipv4"|"192.94.246.0"|256|1991-03-06|"assigned"|2005-02-18|2005-10-25|FALSE|"192.94.246.0/24"
"AF2005-02-18-00617"|"afrinic"|"ZA"|"ipv4"|"206.223.136.0"|256|2001-09-05|"assigned"|2005-02-18|2005-10-25|FALSE|"206.223.136.0/24"
"AF2005-05-17-00491"|"afrinic"|"ZA"|"ipv4"|"196.41.64.0"|8192|1999-06-28|"assigned"|2005-05-17|2005-10-25|FALSE|"196.41.64.0/19"
"AF2005-04-18-00341"|"afrinic"|"SN"|"ipv4"|"196.1.92.0"|256|NA|"allocated"|2005-04-18|2005-10-27|FALSE|"196.1.92.0/24"
"AF2005-04-20-00229"|"afrinic"|"ZA"|"ipv4"|"146.230.0.0"|65536|1991-03-01|"allocated"|2005-04-20|2005-10-27|FALSE|"146.230.0.0/16"
"AF2005-09-04-00470"|"afrinic"|"ZA"|"ipv4"|"196.13.220.0"|256|2005-09-03|"allocated"|2005-09-04|2005-10-27|FALSE|"196.13.220.0/24"
"AF2005-10-26-00287"|"afrinic"|"ZA"|"ipv4"|"160.124.0.0"|65536|1993-03-29|"allocated"|2005-10-26|2005-10-27|FALSE|"160.124.0.0/16"
"AF2005-10-26-00332"|"afrinic"|"ZA"|"ipv4"|"192.94.246.0"|256|1991-03-06|"allocated"|2005-10-26|2005-10-27|FALSE|"192.94.246.0/24"
"AF2005-10-26-00639"|"afrinic"|"ZA"|"ipv4"|"206.223.136.0"|256|2001-09-05|"allocated"|2005-10-26|2005-10-27|FALSE|"206.223.136.0/24"
"AF2005-10-28-00789"|"afrinic"|"ZA"|"ipv4"|"196.13.220.0"|256|NA|"assigned"|2005-10-28|2005-10-31|FALSE|"196.13.220.0/24"
"AF2005-09-03-00516"|"afrinic"|"ZA"|"ipv4"|"196.32.160.0"|8192|2005-09-02|"allocated"|2005-09-03|2005-11-02|FALSE|"196.32.160.0/19"
"AF2005-10-28-00289"|"afrinic"|"ZA"|"ipv4"|"160.124.0.0"|65536|NA|"assigned"|2005-10-28|2005-11-02|FALSE|"160.124.0.0/16"
"AF2005-10-28-00335"|"afrinic"|"ZA"|"ipv4"|"192.94.246.0"|256|NA|"assigned"|2005-10-28|2005-11-02|FALSE|"192.94.246.0/24"
"AF2005-10-28-00558"|"afrinic"|"ZA"|"ipv4"|"196.1.92.0"|256|NA|"assigned"|2005-10-28|2005-11-02|FALSE|"196.1.92.0/24"
"AF2005-10-28-01105"|"afrinic"|"ZA"|"ipv4"|"206.223.136.0"|256|NA|"assigned"|2005-10-28|2005-11-02|FALSE|"206.223.136.0/24"
