"ipr.oid"|"registry"|"cc"|"type"|"start"|"value"|"date"|"status"|"dtstart"|"dtend"|"current"|"ipr"
"AP2003-10-09-06580"|"apnic"|"KR"|"ipv6"|"2001:0220:0000::"|35|1999-10-06|"allocated"|2003-10-09|2003-11-26|FALSE|"2001:220::-2001:220::22"
"AP2003-10-09-06589"|"apnic"|"KR"|"ipv6"|"2001:0270:0000::"|35|2000-09-08|"allocated"|2003-10-09|2003-12-12|FALSE|"2001:270::-2001:270::22"
"AP2003-10-09-06685"|"apnic"|"JP"|"ipv6"|"2001:0D00:0000::"|32|2003-02-06|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d00::/123"
"AP2003-10-09-06686"|"apnic"|"MY"|"ipv6"|"2001:0D08:0000::"|32|2003-02-18|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d08::/123"
"AP2003-10-09-06687"|"apnic"|"ID"|"ipv6"|"2001:0D10:0000::"|32|2003-02-26|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d10::/123"
"AP2003-10-09-06688"|"apnic"|"PH"|"ipv6"|"2001:0D18:0000::"|32|2003-04-07|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d18::/123"
"AP2003-10-09-06689"|"apnic"|"TW"|"ipv6"|"2001:0D20:0000::"|32|2003-03-13|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d20::/123"
"AP2003-10-09-06690"|"apnic"|"JP"|"ipv6"|"2001:0D28:0000::"|32|2003-03-25|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d28::/123"
"AP2003-10-09-06691"|"apnic"|"JP"|"ipv6"|"2001:0D30:0000::"|32|2003-04-07|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d30::/123"
"AP2003-10-09-06692"|"apnic"|"KR"|"ipv6"|"2001:0D38:0000::"|32|2003-05-15|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d38::/123"
"AP2003-10-09-06693"|"apnic"|"TW"|"ipv6"|"2001:0D40:0000::"|32|2003-05-19|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d40::/123"
"AP2003-10-09-06694"|"apnic"|"TW"|"ipv6"|"2001:0D48:0000::"|32|2003-05-23|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d48::/123"
"AP2003-10-09-06695"|"apnic"|"JP"|"ipv6"|"2001:0D50:0000::"|32|2003-06-05|"allocated"|2003-10-09|2004-04-27|FALSE|"2001:d50::/123"
