"ipr.oid"|"registry"|"cc"|"type"|"start"|"value"|"date"|"status"|"dtstart"|"dtend"|"current"|"ipr"
"LA2004-08-04-01269"|"lacnic"|"BR"|"ipv6"|"2001:12f8::"|48|2004-08-04|"allocated"|2004-08-04|2004-12-01|FALSE|"2001:12f8::-2001:12f8::2f"
"LA2004-01-01-01118"|"lacnic"|"BR"|"ipv6"|"2001:12ff::"|32|2003-07-28|"assigned"|2004-01-01|2005-03-31|FALSE|"2001:12ff::/123"
"LA2004-12-02-01428"|"lacnic"|"BR"|"ipv6"|"2001:12f8::"|48|2004-12-02|"assigned"|2004-12-02|2005-03-31|FALSE|"2001:12f8::-2001:12f8::2f"
"LA2005-07-18-01550"|"lacnic"|"AR"|"ipv6"|"2001:1398::"|32|2005-07-18|"allocated"|2005-07-18|2005-08-03|FALSE|"2001:1398::/123"
"LA2006-05-29-01731"|"lacnic"|"DO"|"ipv6"|"2800:50::"|32|2006-05-29|"allocated"|2006-05-29|2006-05-29|FALSE|"2800:50::/123"
"LA2005-08-10-01563"|"lacnic"|"UY"|"ipv6"|"2001:13c0::"|32|2005-08-10|"allocated"|2005-08-10|2007-07-01|FALSE|"2001:13c0::/123"
"LA2006-06-20-01713"|"lacnic"|"MX"|"ipv6"|"2001:12f8:4000::"|48|2006-06-20|"allocated"|2006-06-20|2007-11-28|FALSE|"2001:12f8:4000::-2001:12f8:4000::2f"
"LA2006-01-27-01624"|"lacnic"|"CO"|"ipv6"|"2001:12f8:2::"|48|2006-01-27|"allocated"|2006-01-27|2007-12-05|FALSE|"2001:12f8:2::-2001:12f8:2::2f"
"LA2005-12-07-01595"|"lacnic"|"AR"|"ipv6"|"2001:12f8:1::"|48|2005-12-07|"allocated"|2005-12-07|2008-02-06|FALSE|"2001:12f8:1::-2001:12f8:1::2f"
"LA2004-01-01-01117"|"lacnic"|"BR"|"ipv6"|"2001:12f0::"|32|2003-10-28|"allocated"|2004-01-01|2008-05-08|FALSE|"2001:12f0::/123"
"LA2004-07-02-01210"|"lacnic"|"BR"|"ipv6"|"2001:12e0::"|32|2004-07-02|"allocated"|2004-07-02|2008-05-08|FALSE|"2001:12e0::/123"
"LA2004-07-26-01259"|"lacnic"|"BR"|"ipv6"|"2001:12e8::"|32|2004-07-26|"allocated"|2004-07-26|2008-05-08|FALSE|"2001:12e8::/123"
"LA2005-04-01-01470"|"lacnic"|"BR"|"ipv6"|"2001:12f8::"|48|2004-12-02|"allocated"|2005-04-01|2008-05-08|FALSE|"2001:12f8::-2001:12f8::2f"
"LA2005-04-01-01471"|"lacnic"|"BR"|"ipv6"|"2001:12ff::"|32|2003-07-28|"allocated"|2005-04-01|2008-05-08|FALSE|"2001:12ff::/123"
"LA2006-01-12-01608"|"lacnic"|"BR"|"ipv6"|"2001:12d8::"|32|2006-01-12|"allocated"|2006-01-12|2008-05-08|FALSE|"2001:12d8::/123"
"LA2006-01-31-01619"|"lacnic"|"BR"|"ipv6"|"2001:12d0::"|32|2006-01-31|"allocated"|2006-01-31|2008-05-08|FALSE|"2001:12d0::/123"
"LA2006-08-09-01737"|"lacnic"|"BR"|"ipv6"|"2001:12c8::"|32|2006-08-09|"allocated"|2006-08-09|2008-05-08|FALSE|"2001:12c8::/123"
"LA2007-10-31-02030"|"lacnic"|"BR"|"ipv6"|"2001:12fe::"|32|2007-10-31|"assigned"|2007-10-31|2008-05-08|FALSE|"2001:12fe::/123"
"LA2008-01-09-02048"|"lacnic"|"BR"|"ipv6"|"2001:128c::"|32|2008-01-09|"allocated"|2008-01-09|2008-05-08|FALSE|"2001:128c::/123"
"LA2004-11-04-01415"|"lacnic"|"CR"|"ipv6"|"2001:1330::"|32|2004-11-04|"allocated"|2004-11-04|2008-06-09|FALSE|"2001:1330::/123"
"LA2005-11-09-01615"|"lacnic"|"CO"|"ipv6"|"2001:13f8::"|32|2005-11-09|"allocated"|2005-11-09|2008-07-06|FALSE|"2001:13f8::/123"
"LA2007-11-28-02068"|"lacnic"|"MX"|"ipv6"|"2001:13c7:7000::"|48|2007-11-28|"allocated"|2007-11-28|2008-11-23|FALSE|"2001:13c7:7000::-2001:13c7:7000::2f"
