"ipr.oid"|"registry"|"cc"|"type"|"start"|"value"|"date"|"status"|"dtstart"|"dtend"|"current"|"ipr"
"RI2003-11-26-19604"|"ripencc"|"DE"|"ipv6"|"2001:650::"|35|1999-12-23|"allocated"|2003-11-26|2004-03-09|FALSE|"2001:650::/35"
"RI2003-11-26-19605"|"ripencc"|"DE"|"ipv6"|"2001:650:2000::"|35|2002-07-22|"allocated"|2003-11-26|2004-03-09|FALSE|"2001:650:2000::/35"
"RI2003-11-26-19606"|"ripencc"|"DE"|"ipv6"|"2001:650:4000::"|34|2002-07-22|"allocated"|2003-11-26|2004-03-09|FALSE|"2001:650:4000::/34"
"RI2003-11-26-19607"|"ripencc"|"DE"|"ipv6"|"2001:650:8000::"|33|2002-07-22|"allocated"|2003-11-26|2004-03-09|FALSE|"2001:650:8000::/33"
"RI2003-11-26-19685"|"ripencc"|"UK"|"ipv6"|"2001:710::"|35|2001-05-18|"allocated"|2003-11-26|2004-04-22|FALSE|"2001:710::/35"
"RI2003-11-26-19812"|"ripencc"|"IT"|"ipv6"|"2001:8e8::"|32|2002-09-16|"allocated"|2003-11-26|2004-05-07|FALSE|"2001:8e8::/32"
"RI2003-11-26-19782"|"ripencc"|"EU"|"ipv6"|"2001:7fd::"|32|2003-09-03|"allocated"|2003-11-26|2004-07-14|FALSE|"2001:7fd::/32"
"RI2004-01-16-18456"|"ripencc"|"SE"|"ipv6"|"2001:7fe::"|32|2003-09-16|"allocated"|2004-01-16|2004-07-14|FALSE|"2001:7fe::/32"
"RI2004-07-17-20533"|"ripencc"|"DE"|"ipv6"|"680:2000::"|35|2004-07-16|"allocated"|2004-07-17|2004-07-21|FALSE|"680:2000::/35"
"RI2004-07-17-20534"|"ripencc"|"DE"|"ipv6"|"680:4000::"|34|2004-07-16|"allocated"|2004-07-17|2004-07-21|FALSE|"680:4000::/34"
"RI2004-07-17-20535"|"ripencc"|"DE"|"ipv6"|"680:8000::"|33|2004-07-16|"allocated"|2004-07-17|2004-07-21|FALSE|"680:8000::/33"
"RI2004-04-23-19776"|"ripencc"|"EU"|"ipv6"|"2001:710::"|35|2001-05-18|"allocated"|2004-04-23|2004-07-23|FALSE|"2001:710::/35"
"RI2003-11-26-19723"|"ripencc"|"DE"|"ipv6"|"2001:768::"|35|2001-10-08|"allocated"|2003-11-26|2004-10-12|FALSE|"2001:768::/35"
"RI2003-11-26-19724"|"ripencc"|"DE"|"ipv6"|"2001:768:2000::"|35|2002-07-12|"allocated"|2003-11-26|2004-10-12|FALSE|"2001:768:2000::/35"
"RI2003-11-26-19725"|"ripencc"|"DE"|"ipv6"|"2001:768:4000::"|34|2002-07-12|"allocated"|2003-11-26|2004-10-12|FALSE|"2001:768:4000::/34"
"RI2003-11-26-19726"|"ripencc"|"DE"|"ipv6"|"2001:768:8000::"|33|2002-07-12|"allocated"|2003-11-26|2004-10-12|FALSE|"2001:768:8000::/33"
"RI2003-11-26-19706"|"ripencc"|"DE"|"ipv6"|"2001:740::"|35|2001-07-17|"allocated"|2003-11-26|2004-11-24|FALSE|"2001:740::/35"
"RI2003-11-26-19707"|"ripencc"|"DE"|"ipv6"|"2001:740:2000::"|35|2001-07-17|"allocated"|2003-11-26|2004-11-24|FALSE|"2001:740:2000::/35"
"RI2003-11-26-19708"|"ripencc"|"DE"|"ipv6"|"2001:740:4000::"|34|2001-07-17|"allocated"|2003-11-26|2004-11-24|FALSE|"2001:740:4000::/34"
"RI2003-11-26-19709"|"ripencc"|"DE"|"ipv6"|"2001:740:8000::"|33|2001-07-17|"allocated"|2003-11-26|2004-11-24|FALSE|"2001:740:8000::/33"
